name,abbreviation,staff_tests,staff_tests_with_multiples,weekly_staff_cases,total_staff_cases,weekly_staff_recovered,staff_recovered,weekly_staff_deaths,total_staff_deaths,weekly_prisoner_tests,prisoner_tests,prisoner_tests_with_multiples,weekly_prisoner_cases,total_prisoner_cases,weekly_prisoners_recovered,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Illinois,IL,,24209,,3404,,3076,,1,,,50338,,7552,,5880,65,12/29/20,
Indiana,IN,,4921,,1299,,1111,,4,,,13158,,2968,,2974,45,12/29/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,612,,579,,2,,,32470,,3957,,3772,13,12/29/20,
Kansas,KS,,,,965,,,,4,,,,,5183,,,12,12/28/20,
Kentucky,KY,,,,573,,472,,4,,,,,4138,,3069,34,12/28/20,
Louisiana,LA,2208,,,720,,642,,5,,7350,,,2685,,2529,31,12/29/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,45,,40,,0,,,6521,,156,,,1,12/29/20,
Maryland,MD,,41518,,1638,,1351,,2,,45676,,,3090,,2456,18,12/28/20,
Massachusetts,MA,,,,706,,,,,,,22882,,2085,,,12,12/30/20,"Massachusetts later revised its number of tests for this week that seemed to have been overstated by 1,000. The figures has been updated here."
Michigan,MI,,93239,,2930,,1837,,4,,40041,402143,,21622,,10832,116,12/29/20,"Recovered prisoners dropped this week. Michigan spokesman wrote ""Any prisoner who tests positive after 90 days from a previous positive is considered a new infection, and so when that happens, they are moved from the recovered column."""
Minnesota,MN,,,,933,,750,,0,,,82979,,3621,,3071,9,12/29/20,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,573,,220,,161,,2,,,3136,,1321,,,10,12/28/20,
Missouri,MO,,12430,,2252,,2149,,5,,,64455,,5118,,4900,40,12/29/20,
Montana,MT,,,,3,,,,0,,27,,,2,,,0,4/29/20,Both prisoner cases are in halfway houses
Nebraska,NE,,,,461,,375,,,,3518,5972,,873,,777,6,12/28/20,
Nevada,NV,,,,802,,,,2,,,,,,,,10,12/29/20,
New Hampshire,NH,,,,130,,,,0,,,1065,,334,,219,0,12/29/20,"Staff began receiving vaccines on 12/24, but they don't have a concrete count of the numbers yet."
New Jersey,NJ,,,,1674,,,,,,,,,3620,,,52,12/29/20,Began vaccinations this week
New Mexico,NM,,,,812,,589,,0,,,26267,,2229,,1616,23,12/28/20,
New York,NY,,,,2957,,2030,,6,,,46646,,2945,,2156,21,12/29/20,
North Carolina,NC,,32404,,2439,,1842,,7,,37288,79556,,7420,,6202,32,12/29/20,The staff testing number is as of 12/26. The rest are from 12/29
North Dakota,ND,1000,14131,,240,,228,,0,,2727,19104,,613,,607,1,12/29/20,
Ohio,OH,,,,3734,,3094,,8,,,50257,,8750,,6693,127,12/29/20,"Ohio has begun distributing vaccines to prisons, but they do not have numbers yet of people vaccinated."
Oklahoma,OK,,7978,,806,,,,,,,26229,,6794,,,43,12/29/20,
Oregon,OR,,,,581,,443,,0,,,16277,,2196,,1616,21,12/29/20,The number of staff vaccinations is an estimate.
Pennsylvania,PA,,5938,,2627,,2536,,3,,,,,6787,,4578,63,12/29/20,
Rhode Island,RI,,,,311,,284,,1,,,,,984,,864,2,12/31/20,Subtracting 4 presumed positives among prisoners and 13 presumed positives.
South Carolina,SC,,,,700,,589,,2,,8577,,,2489,,2332,34,12/29/20,
South Dakota,SD,,389,,176,,174,,0,,,6413,,2329,,2321,5,12/29/20,
Tennessee,TN,,8754,,1148,,916,,3,,,35371,,6211,,6069,32,12/29/20,
Texas,TX,,116345,,8463,,7003,,30,,,291661,,28421,,25560,177,12/29/20,
Utah,UT,,,,286,,223,,,,,17222,,2867,,1634,12,12/29/20,
Vermont,VT,,,,32,,30,,0,,2539,10991,,242,,240,0,12/29/20,
Virginia,VA,,,,1741,,1370,,2,,,73256,,7080,,5860,45,12/29/20,
Washington,WA,,,,790,,,,1,,8510,9936,,4330,,1945,5,12/29/20,Vaccinations began on 12/29 but they don't have numbers yet.
West Virginia,WV,,7057,,351,,327,,0,,,8824,,1205,,947,4,12/29/20,
Wisconsin,WI,,,,2189,,2097,,,,,79306,,10246,,9533,23,12/29/20,
Wyoming,WY,,,,225,,213,,,,,16357,,560,,455,1,12/29/20,Wyoming prisoner death backfilled from 1/22 announcement.
Federal,US,,,,4489,,2821,,2,,94610,,,39556,,32199,193,12/29/20,Vaccines have been distributed to 19 prisons for staff and some prisoners but they are not yet releasing numbers. The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,795,,518,,2,,,11111,,1094,,979,54,12/21/20,
Alaska,AK,,,,198,,,,0,,,15668,,1905,,,3,12/22/20,"Staff and prisoners in the infirmary were offered vaccines the week before, but they do not have counts yet."
Arizona,AZ,,,,1655,,1351,,,,42654,,,6249,,4086,34,12/22/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Arkansas,AR,,,,,,,,2,,,,,10203,,9575,50,12/22/20,
California,CA,,,32,169,,,,0,331,1551,,193,398,0,0,1,5/6/20,
Colorado,CO,,,,1185,,,,0,,17731,120370,,6810,,,19,12/22/20,Have started vaccinating some staffers but no numbers yet
Connecticut,CT,,25690,,982,,702,,0,,,30909,,2801,,2258,13,12/22/20,
Delaware,DE,301,,26,64,0,0,0,0,,267,,58,125,0,0,3,5/7/20,
Florida,FL,,,,4232,,3764,,,,,,,17497,,16998,189,12/23/20,
Georgia,GA,,,,1246,,1093,,2,,,,,2549,,2279,83,12/22/20,
Hawaii,HI,,,,186,,137,,0,,,12520,,1632,,1317,1,12/22/20,vaccine numbers sent via email from PIO
Idaho,ID,4253,,,385,,348,,0,,9712,,,3582,,2236,6,12/22/20,vaccine numbers sent via email from PIO. The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Illinois,IL,,18683,,3230,,2825,,1,,,37676,,6921,,5178,50,12/22/20,
Indiana,IN,,4774,,1251,,1026,,4,,,12758,,2915,,2808,44,12/22/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,600,,565,,2,,,32061,,3794,,3689,13,12/22/20,vaccine numbers sent via email from PIO
Kansas,KS,,,,,,,,,,,,,,,,,,
Kentucky,KY,,,,532,,448,,4,,,,,3873,,2862,34,12/22/20,
Louisiana,LA,2179,,,680,,616,,5,,7337,,,2631,,2519,31,12/22/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,43,,39,,0,,,6430,,156,,,0,12/22/20,vaccine numbers sent via email from PIO
Maryland,MD,,40080,,1485,,1261,,2,,43667,,,2666,,2302,16,12/21/20,
Massachusetts,MA,,,,654,,,,0,,,22371,,1832,,,11,12/23/20,"Massachusetts later revised its number of tests for this week that seemed to have been overstated by 1,000. The figures has been updated here."
Michigan,MI,,89203,,2764,,1834,,4,,39947,384125,,20651,,10845,108,12/22/20,vaccine numbers sent via email from PIO
Minnesota,MN,,,,923,,726,,,,,82618,,3538,,3038,9,12/22/20,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,573,,220,,,,,,,3126,,1314,,,,12/22/20,
Missouri,MO,,12403,,2211,,2093,,5,,,63557,,5010,,4780,39,12/22/20,includes 22 active non-prison staff cases and 249 recovered. vaccine numbers sent via email from PIO
Montana,MT,,,,3,,,,0,,,,,2,,,0,5/6/20,
Nebraska,NE,,,,,,,,,,,,,,,,,12/22/20,"because of the Christmas holiday, Nebraska said it won't update its numbers this week."
Nevada,NV,,,,561,,,,2,,,,,2466,,,10,12/22/20,DOC has confirmed two additional prisoner deaths that are not reflected on the public dashboard yet.
New Hampshire,NH,,,,92,,,,0,,,959,,274,,,0,12/22/20,
New Jersey,NJ,,,,1487,,,,,,,,,3557,,,52,12/22/20,
New Mexico,NM,,,,787,,541,,0,,,26267,,2209,,1562,21,12/22/20,
New York,NY,,,,2627,,1785,,6,,,44048,,2479,,1899,20,12/22/20,
North Carolina,NC,,30055,,2309,,1731,,6,,37216,77127,,7035,,5974,29,12/22/20,Staff testing number is as of 12/16. The rest are from 12/22
North Dakota,ND,998,13634,,236,,223,,0,,2578,18172,,609,,566,1,12/22/20,"vaccine numbers sent via email from PIO. In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,3509,,2860,,8,,,49100,,8388,,6520,120,12/22/20,
Oklahoma,OK,,7733,,782,,,,,,,25973,,6731,,,40,12/22/20,
Oregon,OR,,,,514,,417,,0,,,14608,,1940,,1515,20,12/22/20,
Pennsylvania,PA,,5657,,2428,,2344,,3,,,56616,,6358,,3821,58,12/24/20,
Rhode Island,RI,,,,292,,273,,1,,,,,934,,860,2,12/27/20,Rhode Island began vaccinating staff. Prisoners started after 12/22. Subtracting 4 presumed positives among prisoners and 13 presumed positives.
South Carolina,SC,,,,643,,576,,2,,8569,,,2453,,2299,34,12/22/20,
South Dakota,SD,,387,,175,,171,,0,,,6301,,,,2299,5,12/22/20,vaccine numbers sent via email from PIO
Tennessee,TN,,,,1136,,899,,2,,,,,6194,,6058,31,12/22/20,vaccine numbers sent via email from PIO
Texas,TX,,111117,,8058,,6772,,28,,,276831,,27640,,25412,177,12/22/20,
Utah,UT,,,,252,,205,,,,,16476,,2627,,1622,11,12/21/20,
Vermont,VT,,,,30,,29,,0,,2520,10430,,242,,240,0,12/22/20,vaccine numbers sent via email from PIO
Virginia,VA,,,,1566,,1241,,1,,,71205,,6740,,5178,39,12/22/20,
Washington,WA,,,,706,,,,1,,7954,9276,,3630,,1371,5,12/22/20,
West Virginia,WV,,6781,,334,,304,,0,,,8766,,965,,868,4,12/22/20,"West Virginia began administering vaccines to staff on 12/22, but did not have numbers available for that date yet."
Wisconsin,WI,,,,2162,,2037,,,,,78297,,9639,,9258,19,12/22/20,vaccine numbers sent via email from PIO
Wyoming,WY,,,,,,,,0,,,,,,,,1,12/22/20,Wyoming prisoner death backfilled from 1/22 announcement
Federal,US,,,,4340,,2718,,2,,92765,,,36533,,30296,183,12/22/20,Have started vaccinating staff and prisoners but won't release numbers yet. The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,769,,502,,2,,,10805,,1068,,944,48,12/14/20,
Alaska,AK,,,,179,,,,0,,,14870,,1539,,,3,12/16/20,
Arizona,AZ,,,,1485,,1197,,,,42401,,,5463,,3177,33,12/15/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Arkansas,AR,,,,,,,,2,,,,,9745,,9291,50,12/15/20,
California,CA,,,18,187,,,,0,943,2494,,137,535,0,0,5,5/13/20,
Colorado,CO,,,,1097,,,,0,,17712,112599,,6276,,,17,12/15/20,
Connecticut,CT,,,,,,,,,,,,,,,,,,
Delaware,DE,,,21,85,0,0,0,0,,,,14,139,0,0,6,5/13/20,
Florida,FL,,,,4073,,3729,,4,,,85222,,17208,,16851,189,12/16/20,
Georgia,GA,,,,1183,,1065,,2,,,,,2488,,2200,83,12/15/20,
Hawaii,HI,,,,170,,128,,0,,,11678,,1467,,1290,1,12/15/20,
Idaho,ID,,,,380,,328,,0,,9653,,,3408,,2131,6,12/15/20,
Illinois,IL,,,,3002,,2579,,,,,,,5890,,4607,,12/15/20,
Indiana,IN,,4567,,1181,,943,,3,,,12262,,2790,,2520,40,12/15/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,578,,530,,2,,,30588,,3732,,3609,12,12/15/20,
Kansas,KS,,,,898,,,,3,,,,,5156,,,11,12/14/20,
Kentucky,KY,,,,477,,412,,3,,,,,3123,,2676,28,12/15/20,
Louisiana,LA,2152,,,654,,582,,5,,7282,,,2608,,2496,31,12/15/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,35,,26,,0,,,6195,,151,,150,0,12/15/20,
Maryland,MD,,38570,,1374,,1162,,2,,41657,,,2342,,2085,16,12/14/20,
Massachusetts,MA,,,,609,,,,,,,20181,,1642,,,11,12/16/20,
Michigan,MI,,80064,,2559,,1566,,3,,39805,348848,,20006,,6481,99,12/15/20,
Minnesota,MN,,,,894,,694,,0,,,80747,,3436,,2824,8,12/15/20,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,573,,220,,161,,,,,3125,,1288,,,,12/14/20,
Missouri,MO,,12321,,2140,,2012,,4,,,61919,,4946,,4705,37,12/15/20,
Montana,MT,,,,3,,,,0,,7,,,2,,,0,5/13/20,"7 tests are only for their ""secure facilities"". The 2 confirmed cases are in re-entry centers."
Nebraska,NE,,,,,,,,,,3447,5743,,855,,720,6,12/18/20,
Nevada,NV,,,,561,,68,,2,,,,,2218,,28,8,12/15/20,
New Hampshire,NH,,,,73,,50,,0,,,791,,171,,30,0,12/15/20,
New Jersey,NJ,,,,1487,,,,,,,,,3557,,,52,12/15/20,
New Mexico,NM,,,,748,,494,,0,,,25315,,2009,,1524,14,12/15/20,
New York,NY,,,,2333,,1764,,6,,36020,,,2156,,1791,18,12/15/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,18597,,2003,,1553,,6,,36963,72700,,6687,,5532,29,12/16/20,
North Dakota,ND,996,13151,,231,,217,,0,,2571,17540,,580,,510,1,12/15/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,3108,,2587,,7,,,47571,,8289,,6299,118,12/15/20,
Oklahoma,OK,,7064,,736,,,,,,,25299,,6652,,,37,12/15/20,
Oregon,OR,,,,460,,399,,0,,,12978,,1673,,1369,19,12/15/20,
Pennsylvania,PA,,5122,,2009,,1693,,,,,53397,,6046,,2550,48,12/15/20,"Pennsylvania has stopped reporting negative results for community corrections staff and prisoners, as it did in previous weeks, so going forward the number of tests will be an undercount."
Rhode Island,RI,,,,272,,,,1,,,,,790,,,0,12/17/20,
South Carolina,SC,,,,623,,564,,2,,8506,,,2448,,2299,33,12/15/20,
South Dakota,SD,,382,,172,,169,,0,,,5924,,2305,,2282,5,12/15/20,
Tennessee,TN,,8554,,1051,,853,,2,,,,,6137,,6032,29,12/15/20,"Tennessee later revised their numbers of prisoner tests down, but were not able to provide an updated figure for this week."
Texas,TX,,102070,,7610,,6535,,27,,,263704,,27171,,24058,172,12/15/20,
Utah,UT,,,,242,,172,,,,,13663,,2282,,1050,10,12/16/20,
Vermont,VT,,,,29,,28,,0,,2495,9807,,241,,230,0,12/15/20,"The number of recoveries dropped this week. ""9 incarcerated individuals in Mississippi tested positive again during mass testing. All 9 individuals were part of the original group of 185 that tested positive at TCCF, so these are not new unique positive cases."""
Virginia,VA,,,,1406,,1114,,1,,,66757,,6132,,4766,35,12/15/20,
Washington,WA,,,,552,,,,1,,7174,8236,,2630,,899,4,12/15/20,
West Virginia,WV,,6439,,306,,288,,0,,,8262,,900,,833,4,12/15/20,
Wisconsin,WI,,,,2054,,1890,,,,,76566,,9566,,8822,19,12/15/20,
Wyoming,WY,,,,213,,194,,0,,,14712,,528,,443,0,12/18/20,
Federal,US,,,,4159,,2398,,2,,88506,,,33410,,27075,175,12/15/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,729,,479,,2,,,10584,,1033,,782,43,12/9/20,
Alaska,AK,,,,147,,,,0,,,13603,,1217,,,3,12/8/20,
Arizona,AZ,,,,1296,,1008,,,,42173,,,4293,,2866,32,12/8/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Arkansas,AR,,,,,,,,2,,,,,9386,,,49,12/8/20,
California,CA,,,27,214,,,,0,4913,7407,,380,915,0,0,6,5/20/20,
Colorado,CO,,,,1011,,,,0,,17690,105821,,5754,,,14,12/8/20,
Connecticut,CT,,20827,,827,,604,,0,,,25291,,2382,,1942,10,12/8/20,
Delaware,DE,656,,3,88,0,0,0,0,,,,2,141,0,0,6,5/20/20,
Florida,FL,,,,3949,,3716,,4,,,85157,,17037,,16498,189,12/9/20,
Georgia,GA,,,,1127,,1035,,2,,,,,2406,,2182,82,12/8/20,
Hawaii,HI,,,,138,,128,,0,,,10616,,1296,,1215,1,12/8/20,
Idaho,ID,3636,,,346,,283,,0,,9500,,,2934,,1976,6,12/8/20,
Illinois,IL,,10859,,2758,,2319,,1,,,24644,,5219,,3901,50,12/8/20,
Indiana,IN,,4282,,1073,,839,,3,,,11537,,2604,,2109,40,12/8/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,548,,496,,2,,,29792,,3666,,3295,11,12/8/20,
Kansas,KS,,,,872,,,,3,,,,,5111,,,11,12/10/20,
Kentucky,KY,,,,456,,387,,3,,,,,2895,,2572,24,12/8/20,
Louisiana,LA,2138,,,618,,562,,5,,7167,,,2592,,2483,31,12/8/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,32,,23,,0,,,5850,,150,,150,0,12/8/20,
Maryland,MD,,36509,,1255,,1004,,2,,40453,,,2173,,1717,14,12/7/20,
Massachusetts,MA,,,,519,,,,,,,18679,,1514,,,9,12/9/20,
Michigan,MI,,80064,,2306,,,,3,,39795,343582,,17180,,6246,94,12/8/20,
Minnesota,MN,,,,862,,644,,0,,,77467,,3292,,2532,6,12/8/20,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,464,,146,,,,,,,3082,,1288,,,,12/11/20,
Missouri,MO,,12268,,2100,,1953,,4,,,60946,,4914,,4580,37,12/9/20,
Montana,MT,,,,3,,,,0,,24,,,2,,,0,5/20/20,
Nebraska,NE,,,,,,,,,,3342,5525,,786,,666,6,12/11/20,
Nevada,NV,,,,481,,,,2,,,,,1131,,,6,12/8/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,57,,,,,,,470,,,,,0,12/9/20,
New Jersey,NJ,,,,1401,,,,,,,,,3393,,,52,12/8/20,
New Mexico,NM,,,,656,,376,,0,,,24670,,1786,,1495,14,12/8/20,
New York,NY,,,,2103,,1650,,6,,35936,,,1959,,1755,18,12/10/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,14297,,,1887,,1441,,5,,36385,65570,,6059,,5071,28,12/8/20,
North Dakota,ND,996,12686,,223,,202,,0,,2545,16890,,512,,479,1,12/8/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,2851,,2286,,7,,,45726,,8031,,6083,116,12/8/20,
Oklahoma,OK,,5586,,683,,,,,,,24151,,6360,,,35,12/8/20,
Oregon,OR,,,,435,,373,,0,,,11276,,1507,,1319,18,12/8/20,
Pennsylvania,PA,,4472,,1827,,772,,3,,,37409,,3228,,820,40,12/8/20,
Rhode Island,RI,,,,253,,,,0,,,,,,,,0,12/10/20,
South Carolina,SC,,,,584,,544,,2,,8427,,,2418,,2218,33,12/9/20,
South Dakota,SD,,379,,171,,160,,0,,,5452,,2287,,2150,4,12/8/20,
Tennessee,TN,,,,929,,784,,2,,,,,6075,,5995,28,12/9/20,"Tennessee later revised their numbers of prisoner tests down, but were not able to provide an updated figure for this week."
Texas,TX,,97575,,7317,,6191,,25,,,256286,,26807,,23821,167,12/8/20,
Utah,UT,,,,210,,166,,0,,,12429,,1906,,753,9,12/8/20,
Vermont,VT,,,,29,,26,,0,,2466,9317,,241,,239,0,12/8/20,
Virginia,VA,,16092,,1251,,1024,,1,,,63211,,5213,,4515,35,12/9/20,
Washington,WA,,,,441,,,,1,,6738,7675,,2069,,686,3,12/8/20,
West Virginia,WV,,6205,,298,,247,,0,,,8172,,848,,719,4,12/8/20,
Wisconsin,WI,,,,1974,,1802,,,,,74524,,9395,,8131,16,12/8/20,
Wyoming,WY,,,,,,,,,,,,,,,,,,
